ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(2.068e+06)","Runtime Improvement""""(293419)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
81,13.82,nchwToNhwcKernel,..nchw2nhwc_params_t..,5.15,0.71,23.89,19.27,33,"    1,    4,  128","  256,    1,    1"
82,21.96,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,22.53,4.95,19.01,46.57,122,"    4,   13,    1","  128,    1,    1"
83,9.58,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,5.02,0.48,5.03,13.70,20,"  128,    1,    1","  256,    1,    1"
84,8.39,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.42,0.29,2.34,16.69,18,"  196,    1,    1","  128,    1,    1"
85,19.85,Kernel2,..cutlass_80_tensorop_s1688gemm_128x64_16x6_nn_align4..,12.86,2.55,16.30,25.67,136,"   64,    1,    1","  128,    1,    1"
86,16.28,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,8.16,1.33,13.67,40.40,20,"  512,    1,    1","  256,    1,    1"
87,7.98,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,7.68,0.61,3.50,59.46,22,"  784,    1,    1","  128,    1,    1"
88,6.41,vectorized_elementwise_kernel,..launch_clamp_scalar..,5.95,0.38,6.05,49.49,18,"  784,    1,    1","  128,    1,    1"
89,22.25,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4..,19.33,4.30,19.70,35.10,96,"   32,    2,    1","  128,    1,    1"
90,8.37,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,5.63,0.47,9.72,28.29,20,"  256,    1,    1","  256,    1,    1"
91,8.42,vectorized_elementwise_kernel,..launch_clamp_scalar..,4.10,0.34,3.87,30.42,18,"  392,    1,    1","  128,    1,    1"
92,11.60,nchwToNhwcKernel,..nchw2nhwc_params_t..,4.86,0.56,10.54,27.96,33,"   25,    8,    1","  256,    1,    1"
93,5.94,nchwToNhwcKernel,..nchw2nhwc_params_t..,10.08,0.60,46.03,47.08,33,"    1,    8,  256","  256,    1,    1"
94,18.36,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,24.99,4.59,20.96,46.05,122,"    8,    4,    2","  128,    1,    1"
95,9.02,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.61,0.42,2.87,7.02,20,"  256,    1,    1","   64,    1,    1"
96,6.49,vectorized_elementwise_kernel,..launch_clamp_scalar..,2.98,0.19,1.21,9.44,18,"   98,    1,    1","  128,    1,    1"
97,18.00,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4..,13.22,2.38,18.07,37.20,96,"   64,    1,    1","  128,    1,    1"
98,5.97,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,5.66,0.34,10.09,28.48,20," 1024,    1,    1","   64,    1,    1"
99,0.00,kern_precompute_indices,..kern_precompute_indices..,2.82,0.00,2.16,1.41,16,"  512,    1,    1","    1,    1,    1"
100,5.63,precomputed_convolve_sgemm,..precomputed_convolve_sgemm..,40.93,2.30,47.13,55.91,64,"    7,   32,    1","    8,    8,    1"
101,6.67,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,5.57,0.37,10.03,28.88,20," 1024,    1,    1","   64,    1,    1"
102,7.25,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,4.86,0.35,2.45,42.03,22,"  392,    1,    1","  128,    1,    1"
103,6.39,vectorized_elementwise_kernel,..launch_clamp_scalar..,4.19,0.27,3.80,28.90,18,"  392,    1,    1","  128,    1,    1"
104,22.57,Kernel2,..cutlass_80_tensorop_s1688gemm_64x128_32x3_nn_align4..,17.54,3.96,13.31,21.67,148,"    8,    1,    5","  128,    1,    1"
105,9.13,splitKreduce_kernel,..splitKreduce_kernel..,4.70,0.43,9.54,27.77,44,"    7,   16,    1","   32,   16,    1"
106,8.77,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.61,0.40,2.87,8.13,20,"  256,    1,    1","   64,    1,    1"
107,6.20,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.01,0.19,1.25,9.46,18,"   98,    1,    1","  128,    1,    1"
108,13.73,nchwToNhwcKernel,..nchw2nhwc_params_t..,3.74,0.51,3.39,7.52,33,"    7,    8,    1","  256,    1,    1"
109,6.99,nchwToNhwcKernel,..nchw2nhwc_params_t..,10.14,0.71,46.48,45.10,33,"    1,    8,  256","  256,    1,    1"
110,18.11,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,24.51,4.44,21.41,45.65,122,"    8,    4,    2","  128,    1,    1"
111,6.76,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.51,0.31,3.02,6.55,20,"  256,    1,    1","   64,    1,    1"
112,8.73,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.04,0.27,1.19,9.85,18,"   98,    1,    1","  128,    1,    1"
113,18.10,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4..,13.15,2.38,18.19,36.73,96,"   64,    1,    1","  128,    1,    1"
114,5.39,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,5.50,0.30,10.14,28.68,20," 1024,    1,    1","   64,    1,    1"
115,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,4.96,0.00,2.45,44.16,22,"  392,    1,    1","  128,    1,    1"
116,8.68,vectorized_elementwise_kernel,..launch_clamp_scalar..,4.13,0.36,3.98,30.90,18,"  392,    1,    1","  128,    1,    1"
117,22.74,Kernel2,..cutlass_80_tensorop_s1688gemm_64x128_32x3_nn_align4..,17.25,3.92,13.57,22.09,148,"    8,    1,    5","  128,    1,    1"
118,8.55,splitKreduce_kernel,..splitKreduce_kernel..,4.74,0.40,9.77,30.38,44,"    7,   16,    1","   32,   16,    1"
119,6.20,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.67,0.29,2.99,6.91,20,"  256,    1,    1","   64,    1,    1"
120,8.15,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.04,0.25,1.28,9.31,18,"   98,    1,    1","  128,    1,    1"
121,14.40,nchwToNhwcKernel,..nchw2nhwc_params_t..,3.71,0.53,3.52,7.63,33,"    7,    8,    1","  256,    1,    1"
122,6.43,nchwToNhwcKernel,..nchw2nhwc_params_t..,9.92,0.64,48.06,48.12,33,"    1,    8,  256","  256,    1,    1"
123,18.15,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,24.48,4.44,21.40,45.70,122,"    8,    4,    2","  128,    1,    1"
124,8.74,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.64,0.41,2.94,7.08,20,"  256,    1,    1","   64,    1,    1"
125,6.18,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.14,0.19,1.24,7.91,18,"   98,    1,    1","  128,    1,    1"
126,17.76,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4..,13.22,2.35,18.10,36.58,96,"   64,    1,    1","  128,    1,    1"
127,6.15,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,5.57,0.34,9.25,30.34,20," 1024,    1,    1","   64,    1,    1"
128,6.38,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,5.15,0.33,2.23,43.06,22,"  392,    1,    1","  128,    1,    1"
129,7.81,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.90,0.30,3.85,30.73,18,"  392,    1,    1","  128,    1,    1"
130,22.61,Kernel2,..cutlass_80_tensorop_s1688gemm_64x128_32x3_nn_align4..,17.09,3.86,13.51,22.25,148,"    8,    1,    5","  128,    1,    1"
131,6.62,splitKreduce_kernel,..splitKreduce_kernel..,4.74,0.31,9.37,29.33,44,"    7,   16,    1","   32,   16,    1"
132,7.72,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.61,0.36,2.89,6.93,20,"  256,    1,    1","   64,    1,    1"
133,7.66,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.01,0.23,1.25,7.87,18,"   98,    1,    1","  128,    1,    1"
134,14.14,nchwToNhwcKernel,..nchw2nhwc_params_t..,3.74,0.53,3.48,7.55,33,"    7,    8,    1","  256,    1,    1"
135,7.18,nchwToNhwcKernel,..nchw2nhwc_params_t..,10.14,0.73,47.11,47.89,33,"    1,    8,  256","  256,    1,    1"
136,18.23,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,24.54,4.47,21.39,45.57,122,"    8,    4,    2","  128,    1,    1"
137,8.43,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.61,0.39,3.00,7.18,20,"  256,    1,    1","   64,    1,    1"
138,8.77,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.04,0.27,1.28,7.86,18,"   98,    1,    1","  128,    1,    1"
139,17.98,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4..,13.09,2.35,17.81,36.87,96,"   64,    1,    1","  128,    1,    1"
140,7.59,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,5.57,0.42,10.16,29.38,20," 1024,    1,    1","   64,    1,    1"
141,8.09,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,4.99,0.40,2.42,43.61,22,"  392,    1,    1","  128,    1,    1"
142,9.35,vectorized_elementwise_kernel,..launch_clamp_scalar..,4.10,0.38,3.91,31.30,18,"  392,    1,    1","  128,    1,    1"
143,22.63,Kernel2,..cutlass_80_tensorop_s1688gemm_64x128_32x3_nn_align4..,17.22,3.90,13.57,22.09,148,"    8,    1,    5","  128,    1,    1"
144,6.42,splitKreduce_kernel,..splitKreduce_kernel..,4.83,0.31,8.91,27.57,44,"    7,   16,    1","   32,   16,    1"
145,7.40,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.54,0.34,2.90,7.43,20,"  256,    1,    1","   64,    1,    1"
146,7.85,vectorized_elementwise_kernel,..launch_clamp_scalar..,2.94,0.23,1.28,10.00,18,"   98,    1,    1","  128,    1,    1"
147,13.80,nchwToNhwcKernel,..nchw2nhwc_params_t..,3.71,0.51,3.40,7.62,33,"    7,    8,    1","  256,    1,    1"
148,6.58,nchwToNhwcKernel,..nchw2nhwc_params_t..,10.05,0.66,45.42,47.71,33,"    1,    8,  256","  256,    1,    1"
149,18.43,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,24.58,4.53,21.47,45.58,122,"    8,    4,    2","  128,    1,    1"
150,8.88,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.70,0.42,2.99,6.78,20,"  256,    1,    1","   64,    1,    1"
151,6.15,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.17,0.19,1.26,9.07,18,"   98,    1,    1","  128,    1,    1"
152,17.71,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4..,13.12,2.32,17.74,36.88,96,"   64,    1,    1","  128,    1,    1"
