ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(3.10598e+06)","Runtime Improvement""""(345226)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
23,13.13,nhwcToNchwKernel,..nhwc2nchw_params_t..,9.50,1.25,27.38,64.12,40,"   98,    8,    1","  256,    1,    1"
24,0.00,elementwise_kernel,..gpu_kernel_impl_nocast..,11.07,0.00,31.07,58.38,16," 3136,    1,    1","  128,    1,    1"
25,5.35,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,9.12,0.49,8.01,72.01,18," 1568,    1,    1","  128,    1,    1"
26,10.35,nchwToNhwcKernel,..nchw2nhwc_params_t..,9.63,1.00,27.14,67.02,33,"   98,    8,    1","  256,    1,    1"
27,7.06,nchwToNhwcKernel,..nchw2nhwc_params_t..,10.02,0.71,46.16,47.38,33,"    1,    8,  256","  256,    1,    1"
28,15.93,Kernel,..cutlass_tensorop_s1688fprop_optimized_tf32_64x64_32x5_nhwc_align4..,172.77,27.52,36.70,42.94,118,"  196,    1,    1","  128,    1,    1"
29,10.41,nhwcToNchwKernel,..nhwc2nchw_params_t..,9.86,1.03,20.32,65.40,40,"   98,    8,    1","  256,    1,    1"
30,0.00,elementwise_kernel,..gpu_kernel_impl_nocast..,10.94,0.00,31.60,60.42,16," 3136,    1,    1","  128,    1,    1"
31,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,8.67,0.00,5.92,77.45,18," 1568,    1,    1","  128,    1,    1"
32,10.67,nchwToNhwcKernel,..nchw2nhwc_params_t..,9.70,1.03,26.92,66.74,33,"   98,    8,    1","  256,    1,    1"
33,5.99,nchwToNhwcKernel,..nchw2nhwc_params_t..,10.14,0.61,47.51,47.56,33,"    1,    8,  256","  256,    1,    1"
34,16.07,Kernel,..cutlass_tensorop_s1688fprop_optimized_tf32_64x64_32x5_nhwc_align4..,173.50,27.88,36.71,42.75,118,"  196,    1,    1","  128,    1,    1"
35,5.53,nhwcToNchwKernel,..nhwc2nchw_params_t..,9.89,0.55,27.67,64.52,40,"   98,    8,    1","  256,    1,    1"
36,0.00,elementwise_kernel,..gpu_kernel_impl_nocast..,10.91,0.00,31.98,55.91,16," 3136,    1,    1","  128,    1,    1"
37,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,8.93,0.00,8.03,73.80,18," 1568,    1,    1","  128,    1,    1"
38,5.09,max_pool_forward_nchw,..max_pool_forward_nchw..,9.95,0.51,41.05,54.70,26,"  784,    1,    1","  256,    1,    1"
39,9.67,nchwToNhwcKernel,..nchw2nhwc_params_t..,4.61,0.45,10.23,27.16,33,"   25,    8,    1","  256,    1,    1"
